C,Si,Mn,P,S,Ni,Mo,Cr,W,Cu,变形温度T,变形程度,变形速率,淬火温度,淬透性
0.59,0.96,0.88,0.18,0.67,0.43,0.17,0.98,0.91,0.56,912,0.6,4.52,1066,0.11
0.31,0.25,0.15,0.99,0.76,0.19,0.61,0.4,0.36,0.9,992,0.5,6.72,1041,1.0
0.82,0.55,0.69,0.7,0.4,0.91,0.81,0.91,1.0,0.76,752,0.4,4.42,912,1.0
0.33,0.94,0.69,0.94,0.9,0.15,0.23,0.96,0.77,0.99,891,0.3,6.78,1013,0.11
0.33,0.86,0.97,0.35,0.14,0.18,0.39,0.36,0.77,0.07,922,0.5,6.04,808,0.11
0.92,0.44,0.32,0.4,0.94,0.01,0.79,0.43,0.57,0.12,981,0.3,3.11,1098,0.11
0.4,0.52,0.02,0.15,0.12,0.44,0.97,0.84,0.46,0.18,875,0.6,5.37,862,0.11
0.65,0.31,0.74,0.5,0.0,0.04,0.65,0.58,0.67,0.49,723,0.3,5.08,933,1.0
0.46,0.22,0.79,0.84,0.75,0.54,0.96,0.26,0.11,0.2,839,0.6,5.82,923,0.11
0.31,0.15,0.4,0.69,0.33,0.89,0.98,0.81,0.54,0.12,873,0.6,5.18,1006,0.11
0.84,0.72,0.31,0.83,0.37,0.95,0.51,0.31,0.06,0.93,827,0.3,6.27,883,0.11
0.13,0.18,0.3,0.91,0.44,0.43,0.55,0.38,0.76,0.51,803,0.3,6.98,865,1.0
0.94,0.9,0.7,0.48,0.74,0.28,0.84,0.91,0.28,0.89,935,0.6,3.06,1031,0.11
0.52,0.59,0.78,0.78,0.34,0.75,0.8,0.84,0.75,0.6,977,0.3,6.41,920,1.0
0.53,0.38,0.91,0.59,0.56,0.1,0.94,0.91,0.87,0.92,992,0.4,3.89,1021,0.11
0.74,0.05,0.88,0.58,0.71,0.75,0.6,0.93,0.09,0.99,810,0.5,5.94,921,0.11
0.52,0.27,0.38,0.87,0.08,0.79,0.5,0.96,0.43,0.25,777,0.4,5.53,885,0.11
0.48,0.2,0.24,0.62,0.85,0.83,0.12,0.27,0.56,0.19,763,0.6,5.55,1046,1.0
0.9,0.64,0.27,0.31,0.32,0.28,0.29,0.23,0.59,0.35,806,0.4,4.47,807,1.0
0.34,0.56,0.91,0.3,0.34,0.98,0.37,0.41,0.27,0.75,756,0.4,4.42,956,0.11
0.85,0.07,0.04,0.14,0.63,0.23,0.55,0.88,0.42,0.21,984,0.3,5.95,959,0.11
0.75,0.9,0.6,0.67,0.46,0.32,0.84,0.21,0.41,0.9,999,0.6,4.44,958,1.0
0.61,0.26,0.1,0.78,0.59,0.02,0.46,0.33,0.34,0.24,950,0.6,3.91,829,0.11
0.62,0.52,0.77,0.98,0.14,0.59,0.67,0.06,0.49,0.11,856,0.5,5.02,912,1.0
0.46,0.22,0.17,0.2,0.79,0.76,0.8,0.47,0.92,0.42,826,0.3,3.37,931,0.11
0.78,0.22,0.92,0.52,0.95,0.57,0.14,0.26,0.39,0.76,730,0.4,5.66,959,0.11
0.4,0.62,0.37,0.3,0.07,0.59,0.71,0.5,0.63,0.54,847,0.5,4.5,1086,1.0
0.21,0.98,0.6,0.9,0.86,0.25,0.86,0.71,0.56,0.51,951,0.6,6.78,1093,0.11
0.71,0.21,0.96,0.6,0.29,0.39,0.44,0.7,0.05,0.65,843,0.3,5.47,886,0.11
0.42,0.61,0.52,0.11,0.48,0.44,0.92,0.44,0.21,0.52,749,0.6,6.62,912,0.11
0.46,0.21,0.34,0.46,0.33,0.27,0.5,0.28,0.62,0.29,890,0.6,3.68,957,1.0
0.79,0.45,0.76,0.77,0.93,0.85,0.49,0.71,0.19,0.47,728,0.4,3.45,965,0.11
0.33,0.8,0.7,0.02,0.64,0.66,0.33,0.87,0.25,0.95,702,0.3,3.99,880,0.11
0.13,0.44,0.97,0.9,0.04,0.3,0.22,0.48,0.93,0.35,814,0.4,6.9,898,0.11
1.0,0.56,0.97,0.75,0.52,0.83,0.76,0.15,0.98,0.54,816,0.3,6.83,948,1.0
0.4,0.06,0.73,0.84,1.0,0.59,0.82,0.08,0.24,0.77,770,0.5,4.02,893,0.11
0.94,0.16,0.78,0.16,0.83,0.83,0.94,0.8,0.63,0.52,969,0.3,5.29,826,1.0
0.5,0.57,0.25,0.3,0.79,0.93,0.95,0.9,0.59,0.3,728,0.5,3.28,1008,1.0
0.68,0.06,0.59,0.91,0.13,0.88,0.34,0.23,0.03,0.23,879,0.6,6.21,822,0.11
0.34,0.75,0.24,0.92,0.06,0.26,0.95,0.18,0.67,0.65,741,0.3,3.78,932,0.11
0.8,0.44,0.95,0.46,0.62,0.59,0.43,0.72,0.57,0.76,781,0.6,4.54,978,1.0
0.27,0.25,0.61,0.04,0.73,0.2,0.33,0.99,0.31,0.84,744,0.3,3.16,1088,0.11
0.38,0.67,0.22,0.82,0.44,0.25,0.23,0.12,0.56,0.84,844,0.5,4.73,1051,1.0
0.25,0.37,0.13,0.51,0.17,0.07,0.28,0.36,0.59,0.31,795,0.6,5.03,1056,0.11
0.55,0.01,0.7,0.24,0.44,0.6,0.49,0.56,0.25,0.12,874,0.4,5.8,889,1.0
0.87,0.0,0.89,0.93,0.76,0.38,0.01,0.27,0.71,0.48,726,0.3,4.8,858,0.11
0.34,0.27,0.14,0.26,0.63,0.33,0.55,0.29,0.48,0.0,833,0.6,4.18,857,1.0
0.98,0.1,0.32,0.89,0.14,0.58,0.4,0.76,0.06,0.49,815,0.6,5.62,980,0.11
0.68,0.29,0.42,0.38,0.9,0.28,0.89,0.32,0.4,0.18,890,0.4,6.85,1013,0.11
0.44,0.29,0.26,0.06,0.2,0.13,0.33,0.96,0.5,0.54,831,0.6,5.95,1011,0.11
0.83,0.01,0.89,0.36,0.23,0.91,0.89,0.47,0.06,0.6,996,0.6,4.82,984,0.11
0.93,0.42,0.37,0.34,0.78,0.31,0.3,0.32,0.81,0.98,974,0.4,4.49,830,0.11
0.34,0.3,0.53,0.67,0.67,0.48,0.26,0.06,0.61,0.54,891,0.5,6.2,1082,0.11
0.44,0.76,0.39,0.58,0.52,0.12,0.53,0.2,0.81,0.44,804,0.6,3.66,1014,1.0
0.41,0.57,0.55,0.71,0.09,0.49,0.12,0.09,0.18,0.07,829,0.6,5.43,1003,1.0
0.89,0.76,0.08,0.28,0.04,0.78,0.35,0.17,0.4,0.76,757,0.3,4.59,1016,0.11
0.97,0.31,0.54,0.49,0.9,0.75,0.65,0.59,0.26,0.12,876,0.3,5.06,995,1.0
0.5,0.36,0.76,0.54,0.29,0.51,0.16,0.88,0.7,0.75,912,0.3,4.24,1002,0.11
0.39,0.26,0.23,0.36,0.07,0.73,0.34,0.3,0.95,0.76,927,0.5,3.44,1039,1.0
0.27,0.87,0.68,0.39,0.27,0.21,0.35,0.83,0.47,0.21,735,0.4,3.1,845,1.0
0.59,0.41,0.32,0.85,0.15,0.76,0.56,0.81,0.5,0.66,731,0.5,5.78,849,1.0
0.43,0.24,0.55,0.38,0.53,0.87,0.93,0.18,0.89,0.97,801,0.5,6.49,1011,1.0
0.43,0.01,0.3,0.46,0.85,0.82,0.35,0.98,0.65,0.3,962,0.6,3.24,1073,1.0
0.26,0.49,0.7,0.05,0.68,0.2,0.64,0.48,0.32,0.26,865,0.5,4.46,1092,0.11
0.38,0.01,0.06,0.33,0.26,0.12,0.92,0.0,0.3,0.13,773,0.6,5.73,900,1.0
0.43,0.72,0.37,0.51,0.8,0.89,0.77,0.66,0.04,0.03,731,0.5,5.41,916,1.0
0.72,0.87,0.12,0.43,0.68,0.83,0.13,0.94,0.42,0.36,765,0.5,6.48,826,0.11
0.95,0.21,0.17,0.4,1.0,0.39,0.25,0.28,0.37,0.62,929,0.3,6.34,879,1.0
0.34,0.11,0.04,0.28,0.2,0.29,0.47,0.11,0.04,0.56,984,0.5,5.13,1015,1.0
0.18,0.58,0.5,0.5,0.7,0.41,0.3,0.55,0.39,0.4,913,0.3,6.82,904,0.11
0.92,0.54,0.98,0.29,0.51,0.58,0.52,0.11,0.41,0.7,980,0.3,6.7,1022,1.0
0.21,0.03,0.3,0.43,0.14,0.35,0.11,0.92,0.11,0.26,953,0.3,4.58,1060,0.11
0.41,0.1,0.65,0.08,0.71,0.45,0.59,0.57,0.13,0.87,837,0.6,6.51,836,0.11
0.24,0.11,0.89,0.89,0.37,0.76,0.01,0.97,0.72,0.07,774,0.5,6.05,823,1.0
0.66,0.25,0.29,0.52,0.62,0.02,0.29,0.8,0.75,0.21,838,0.3,6.99,879,0.11
0.13,0.15,0.49,0.24,0.57,0.29,0.21,0.79,0.67,0.28,979,0.3,4.05,941,1.0
0.57,0.28,0.33,0.0,1.0,0.12,0.77,0.23,0.07,0.91,976,0.6,4.17,850,1.0
0.24,0.31,0.26,0.79,0.23,0.36,0.46,0.9,0.17,0.37,752,0.6,4.59,836,1.0
0.7,0.02,0.86,0.95,0.03,0.31,0.75,0.27,0.49,0.78,861,0.4,6.82,914,1.0
0.25,0.57,0.3,0.47,0.07,0.31,0.69,0.15,0.17,0.36,711,0.4,5.25,965,1.0
0.52,0.15,0.36,0.85,0.22,0.8,0.74,0.92,0.36,0.37,882,0.4,6.08,863,0.11
0.53,0.34,0.1,0.01,0.87,0.07,0.79,0.34,0.4,0.31,774,0.4,5.98,997,0.11
0.15,0.32,0.66,0.23,0.91,0.01,0.08,0.94,0.85,0.97,860,0.4,3.99,952,0.11
0.83,0.76,0.13,0.98,0.95,0.84,0.34,0.76,0.51,0.8,739,0.6,4.73,974,0.11
0.58,0.55,0.5,0.94,0.77,0.13,0.54,0.33,0.58,0.12,730,0.4,3.86,858,1.0
0.73,0.89,0.83,0.04,0.71,0.11,0.11,0.3,0.2,0.58,715,0.4,3.13,853,1.0
0.68,0.33,0.81,0.81,0.88,0.64,0.56,0.87,0.34,0.26,909,0.3,4.38,851,0.11
0.05,0.13,0.21,0.65,0.54,0.18,0.51,0.3,0.06,0.41,831,0.6,3.98,803,1.0
0.17,0.49,0.01,0.79,0.64,0.63,0.48,0.16,0.63,0.65,869,0.3,6.03,1075,0.11
0.86,0.73,0.48,0.65,0.47,0.43,0.0,0.13,0.66,0.8,846,0.3,6.85,1074,0.11
0.03,0.49,0.73,0.89,0.97,0.01,0.51,0.28,0.57,0.91,801,0.3,3.49,805,1.0
0.4,0.02,0.37,0.78,0.92,0.38,0.29,0.09,0.47,0.32,884,0.5,6.2,1092,1.0
0.59,0.52,0.86,0.32,0.66,0.69,0.02,0.12,0.63,0.48,839,0.6,4.15,900,0.11
0.49,0.27,0.32,0.84,0.71,0.23,0.42,0.58,0.95,0.86,799,0.5,5.87,982,1.0
0.5,0.47,0.77,0.67,0.11,0.64,0.55,0.07,0.35,0.06,820,0.6,6.57,1021,1.0
0.13,0.62,0.55,0.8,0.07,0.26,0.86,0.95,0.18,0.05,775,0.3,3.37,955,0.11
0.49,0.62,0.04,0.51,0.03,0.24,0.1,0.56,0.95,0.78,946,0.5,5.5,873,0.11
0.84,0.14,0.95,0.6,0.17,0.83,0.36,0.06,0.52,0.4,968,0.5,5.08,826,1.0
0.31,0.89,0.49,0.12,0.18,0.77,0.27,0.74,0.67,0.48,942,0.5,3.08,878,0.11
0.56,0.87,0.7,0.81,0.43,0.06,0.19,0.08,0.05,0.97,738,0.6,3.1,893,1.0
0.63,0.45,0.52,0.2,0.84,0.12,0.43,0.96,0.07,0.32,939,0.6,4.8,1041,0.11
0.67,0.31,0.68,0.04,0.26,0.43,0.19,0.77,0.56,0.71,894,0.5,6.52,933,0.11
0.27,0.16,0.42,0.06,0.48,0.22,0.63,0.71,0.57,0.95,758,0.4,3.09,953,1.0
0.54,0.95,0.42,0.66,0.12,0.21,0.62,0.17,0.33,0.29,760,0.3,6.28,839,0.11
0.16,0.01,0.84,0.91,0.98,0.47,0.2,0.48,0.75,0.57,776,0.4,4.92,892,1.0
0.37,0.1,0.37,0.89,0.81,0.23,0.67,0.83,0.71,0.1,862,0.4,4.47,953,0.11
0.58,0.25,0.06,0.95,0.88,0.97,0.44,0.1,0.5,0.69,708,0.4,3.32,958,0.11
0.01,0.1,0.87,0.66,0.22,0.39,0.23,0.47,0.07,0.93,913,0.5,3.87,1026,0.11
0.88,0.76,0.57,0.31,0.49,0.6,0.87,0.6,0.16,0.83,777,0.5,3.16,878,1.0
0.14,0.68,0.1,0.17,0.05,0.15,0.26,0.47,0.08,0.71,934,0.3,5.81,1093,1.0
0.93,0.41,0.35,0.32,0.05,0.38,0.95,0.76,0.94,0.17,771,0.5,4.31,917,1.0
0.95,0.19,0.46,0.34,0.04,0.33,0.94,0.95,0.88,0.92,734,0.6,5.28,1051,1.0
0.52,0.66,0.89,0.47,0.94,0.49,0.06,0.53,0.98,0.52,718,0.6,4.65,1081,1.0
0.15,0.09,0.93,0.18,0.49,0.76,0.25,0.05,0.65,1.0,951,0.3,6.89,1010,0.11
0.81,0.48,0.73,0.61,0.49,0.38,0.82,0.68,0.95,0.89,893,0.3,6.85,1007,0.11
0.31,0.16,0.38,0.43,0.48,0.07,0.94,0.29,0.18,0.62,734,0.6,6.76,860,1.0
0.5,0.35,0.39,0.41,0.58,0.9,0.77,0.7,0.46,0.63,837,0.5,6.11,1032,1.0
0.79,0.42,0.0,0.77,0.11,0.79,0.31,0.46,0.24,0.59,715,0.6,6.24,827,0.11
0.8,0.05,0.92,0.31,0.94,0.57,0.58,0.93,0.5,0.62,967,0.4,3.71,1002,0.11
0.47,0.72,0.83,0.16,0.38,0.06,0.38,0.38,0.08,0.66,834,0.3,4.85,1014,1.0
0.54,0.19,0.12,0.27,0.67,0.8,0.48,0.38,0.42,0.26,846,0.6,6.14,829,1.0
0.82,0.39,0.38,0.56,0.41,0.42,0.55,0.82,0.36,0.19,840,0.3,6.15,881,0.11
0.18,0.02,0.02,0.24,0.01,0.3,0.22,0.68,0.24,0.03,727,0.5,6.43,876,1.0
0.57,0.45,0.62,0.72,0.17,0.87,0.69,0.64,0.75,0.55,801,0.4,5.47,959,1.0
0.89,0.69,0.78,0.96,0.78,0.12,0.71,0.18,0.59,0.93,838,0.3,5.13,993,1.0
0.83,0.44,0.29,0.92,0.65,0.76,0.91,0.09,0.61,0.61,857,0.3,5.92,906,1.0
0.98,0.03,0.63,0.0,0.01,0.78,0.34,0.41,0.47,0.67,840,0.6,4.69,841,1.0
0.11,0.69,0.38,0.13,0.85,0.56,0.9,0.46,0.28,0.34,945,0.6,5.67,828,0.11
0.39,0.52,0.54,0.72,0.84,0.11,0.31,0.68,0.25,0.03,961,0.5,3.04,917,1.0
0.2,0.72,0.66,0.59,0.26,0.54,0.84,0.47,0.36,0.46,900,0.3,4.91,1069,1.0
0.5,0.99,0.69,0.54,0.64,0.79,0.43,0.6,0.83,0.56,856,0.6,6.77,1089,0.11
0.36,0.04,0.93,0.09,0.4,0.42,0.2,0.7,0.65,0.8,994,0.6,4.6,805,1.0
0.78,0.82,0.9,0.54,0.63,0.22,0.06,0.79,0.55,0.69,830,0.3,4.78,904,0.11
0.87,0.54,0.71,0.38,0.3,0.47,0.58,0.41,0.43,0.3,709,0.3,6.1,1039,1.0
0.42,0.26,0.86,0.38,0.89,0.73,0.21,0.14,0.6,0.31,713,0.4,3.41,1063,1.0
0.26,0.39,0.27,0.76,0.67,1.0,0.42,0.88,0.05,0.13,990,0.6,4.36,943,0.11
0.92,0.0,0.33,0.45,0.65,0.25,0.3,0.71,0.97,0.83,763,0.3,5.9,996,1.0
0.5,0.55,0.82,0.85,0.56,0.94,0.63,0.58,0.8,0.42,854,0.4,5.44,999,1.0
0.58,0.12,0.0,0.63,0.37,0.22,0.47,0.91,0.21,0.85,916,0.3,6.02,880,0.11
0.44,0.46,0.23,0.97,0.14,0.44,0.03,0.02,0.47,0.54,824,0.3,6.37,1022,1.0
0.84,0.26,0.67,0.44,0.82,0.71,0.6,0.59,0.33,0.57,928,0.6,5.03,881,1.0
0.45,0.51,0.77,0.53,0.72,1.0,0.47,0.36,0.33,0.91,854,0.5,3.74,818,1.0
0.48,0.09,0.52,0.73,0.47,0.43,0.8,0.17,0.15,0.39,858,0.3,5.59,1063,0.11
0.14,0.71,0.67,0.99,0.57,0.72,0.11,0.04,0.48,0.64,720,0.5,5.08,984,1.0
0.7,0.95,0.58,0.51,0.25,0.67,0.4,0.44,0.01,0.34,973,0.4,4.78,949,1.0
0.38,0.93,0.45,0.89,0.56,0.05,0.93,0.24,0.63,0.18,919,0.6,4.19,1065,1.0
0.73,0.61,0.0,0.89,0.63,0.75,0.29,0.65,0.37,0.19,908,0.5,6.01,912,0.11
0.9,0.7,0.01,0.16,0.26,0.2,0.26,0.97,0.45,0.0,776,0.6,6.85,862,1.0
0.29,0.14,0.41,0.66,0.33,0.4,0.26,0.25,0.19,0.52,931,0.4,5.64,875,1.0
0.4,0.11,0.58,0.7,0.36,0.01,0.61,0.54,0.64,0.06,770,0.6,4.19,1096,0.11
0.78,0.12,0.67,0.08,0.78,0.17,0.16,0.43,0.65,0.07,925,0.6,3.53,836,1.0
0.51,0.55,0.98,0.51,0.55,0.78,0.34,0.7,0.38,0.0,803,0.3,3.26,1054,0.11
0.02,0.99,0.48,0.55,0.31,0.31,0.86,0.76,0.04,0.41,700,0.4,5.89,1063,0.11
0.14,0.23,1.0,0.35,0.96,0.88,0.67,0.26,0.77,0.61,974,0.4,4.6,1004,1.0
0.51,0.96,0.87,0.26,0.65,0.02,0.49,0.25,0.91,0.91,767,0.6,5.06,840,1.0
0.85,0.4,0.41,0.79,0.61,0.71,0.16,0.52,0.3,0.11,871,0.3,5.03,1085,1.0
0.07,0.5,0.15,0.29,0.18,0.09,0.75,0.84,0.05,0.53,900,0.5,3.25,1087,0.11
0.24,0.3,0.59,0.53,0.18,0.23,0.85,0.59,0.2,0.58,724,0.4,3.76,927,0.11
0.62,0.03,0.45,0.67,0.73,0.28,0.57,0.33,0.61,0.86,921,0.6,4.94,972,1.0
0.92,0.03,0.24,0.68,0.67,0.97,0.21,0.4,0.45,0.06,847,0.4,4.08,962,0.11
0.52,0.09,0.77,0.29,0.95,0.8,0.52,0.36,0.71,0.81,718,0.4,3.57,937,0.11
0.59,0.61,0.22,0.49,0.43,0.37,0.99,0.56,0.32,0.01,897,0.5,4.59,1097,0.11
0.38,0.71,0.06,0.67,0.19,0.17,0.56,0.28,0.16,0.39,754,0.5,6.96,855,1.0
0.87,0.02,0.76,0.72,0.76,0.01,0.73,0.19,0.67,0.31,751,0.5,3.07,932,0.11
0.64,0.09,0.41,0.08,0.0,0.01,0.43,0.41,0.05,0.34,812,0.4,3.59,911,0.11
0.13,0.09,0.82,0.7,0.98,0.06,0.89,0.67,0.61,0.78,931,0.5,3.54,925,1.0
0.66,0.67,0.41,0.02,0.11,0.88,0.38,0.27,0.4,0.44,892,0.4,4.43,1019,0.11
0.74,0.16,0.74,0.14,0.53,0.65,0.47,0.6,0.8,0.51,702,0.6,3.74,878,0.11
0.29,0.64,0.77,0.64,0.23,0.73,0.35,0.3,0.93,0.89,740,0.4,3.03,901,0.11
0.14,0.89,0.58,0.68,0.85,0.68,0.55,0.42,0.11,0.93,758,0.3,3.52,964,0.11
0.84,0.15,0.53,0.88,0.99,0.38,0.88,1.0,0.33,0.01,774,0.3,6.82,1086,1.0
0.76,0.6,0.67,0.63,0.84,0.91,0.18,0.98,0.75,0.51,725,0.4,3.68,1077,1.0
0.25,0.27,0.04,0.36,0.74,0.47,0.48,0.11,0.69,0.05,800,0.4,6.17,967,0.11
0.46,0.13,0.83,0.37,0.16,0.88,0.39,0.28,0.48,0.14,766,0.4,4.24,1017,1.0
0.2,0.12,0.87,0.6,0.23,0.98,0.59,0.41,0.75,0.4,995,0.5,4.99,1065,0.11
0.77,0.67,0.41,0.38,0.58,0.62,0.96,0.99,0.99,0.38,939,0.3,5.88,952,0.11
0.46,0.08,0.23,0.06,0.81,0.77,0.46,0.51,0.73,0.31,925,0.4,5.71,1080,0.11
0.97,0.05,0.84,0.72,0.92,0.09,0.02,0.68,0.8,0.9,760,0.3,5.38,888,1.0
0.97,0.48,0.16,0.53,0.53,0.1,0.72,0.21,0.23,0.91,935,0.4,3.86,913,0.11
0.7,0.67,0.86,0.23,0.72,0.34,1.0,0.24,0.32,0.28,915,0.4,5.82,1042,0.11
0.84,0.06,0.79,0.74,1.0,0.78,0.95,0.03,0.74,0.77,912,0.6,6.05,864,1.0
0.9,0.45,0.85,0.6,0.68,0.16,0.32,0.4,0.41,0.82,954,0.5,6.03,899,1.0
0.35,0.62,0.84,0.7,0.34,0.55,0.57,0.75,0.36,0.85,777,0.6,5.1,817,1.0
0.05,0.42,0.01,0.62,0.51,0.85,0.76,0.03,0.74,0.37,897,0.4,3.79,1052,0.11
0.53,0.74,0.31,0.4,0.97,0.75,0.5,0.23,0.09,0.33,781,0.3,3.27,1066,1.0
0.15,0.1,0.92,0.53,0.16,0.39,0.65,0.71,0.6,0.73,733,0.6,6.57,1047,1.0
0.28,0.78,0.16,0.29,0.41,0.32,0.26,0.78,0.53,0.38,801,0.4,5.38,962,0.11
0.68,0.58,0.56,0.82,0.84,0.62,0.49,0.93,0.52,0.94,817,0.6,3.98,814,1.0
0.68,0.75,0.76,0.74,0.55,0.62,0.8,0.96,0.59,0.1,861,0.5,3.67,837,1.0
0.85,0.16,0.93,0.33,0.45,0.14,0.83,0.01,0.1,0.62,963,0.6,3.7,946,1.0
0.47,0.43,0.55,0.31,0.71,0.04,0.01,0.75,0.6,0.92,890,0.5,5.32,866,0.11
0.95,0.5,0.39,0.45,0.83,0.92,1.0,0.61,0.17,0.44,729,0.3,4.84,891,1.0
0.31,0.14,0.96,0.57,0.21,0.42,0.52,0.7,0.21,0.64,946,0.4,4.49,941,0.11
0.14,0.48,0.75,0.82,0.6,0.48,0.13,0.7,0.58,0.67,774,0.3,5.97,845,1.0
0.44,0.81,0.65,0.28,0.28,0.55,0.3,0.36,0.12,0.52,892,0.4,4.79,972,0.11
0.39,0.55,0.78,0.42,0.59,0.78,0.96,0.47,0.5,0.01,891,0.4,3.7,1077,1.0
0.57,0.34,0.69,0.85,0.18,0.2,0.83,0.62,0.87,0.14,889,0.4,4.98,1057,0.11
0.02,0.08,0.9,0.33,0.56,0.57,0.12,0.81,0.28,0.92,827,0.4,4.01,1007,0.11
0.8,0.53,0.85,0.11,0.01,0.67,0.01,0.66,0.75,0.19,933,0.4,6.07,1098,1.0
0.89,0.27,0.6,0.29,0.6,0.27,0.53,0.27,0.53,0.56,706,0.3,6.71,1020,0.11
0.44,0.63,0.08,0.07,0.35,0.97,0.16,0.23,0.88,0.0,781,0.4,3.87,888,1.0
0.95,0.16,0.35,0.71,0.61,0.11,0.93,0.87,0.35,0.05,721,0.5,3.08,1080,1.0
0.22,0.5,0.31,0.5,0.29,0.36,0.2,0.66,0.67,0.64,830,0.6,4.44,934,1.0
0.01,0.46,0.9,0.1,0.5,0.54,0.71,0.13,0.36,0.59,702,0.4,6.93,1054,0.11
0.5,0.77,0.29,0.92,0.16,0.03,0.71,0.64,0.64,0.71,836,0.4,3.33,1020,1.0
0.34,0.37,0.8,0.6,0.38,0.7,0.87,0.06,0.49,0.41,842,0.5,3.84,1062,1.0
0.41,0.29,0.01,0.32,0.05,0.87,0.54,0.41,0.26,0.54,872,0.6,3.22,917,0.11
0.36,0.28,0.61,0.58,0.66,0.73,0.28,0.18,0.68,0.54,855,0.4,5.72,898,0.11
0.54,0.43,0.35,0.2,0.62,0.08,0.2,0.61,0.7,0.5,822,0.3,3.66,871,1.0
0.2,0.4,0.83,0.08,0.47,0.91,0.75,0.18,0.27,0.76,978,0.4,4.06,997,1.0
0.41,0.8,0.79,0.61,0.38,0.33,0.13,0.06,0.76,0.28,876,0.4,6.91,1007,0.11
0.14,0.32,0.52,0.8,0.52,0.78,0.85,0.41,0.33,0.01,852,0.5,4.55,1007,1.0
0.07,0.1,0.04,0.53,0.63,0.76,0.42,0.86,0.61,0.43,881,0.3,5.82,902,0.11
0.91,0.16,0.48,0.77,0.62,0.16,0.06,0.4,0.58,0.71,815,0.6,4.35,932,0.11
0.87,0.04,0.74,0.16,0.38,0.8,0.45,0.06,0.24,0.59,901,0.4,6.12,987,0.11
0.81,0.06,0.86,0.87,0.65,0.02,0.48,0.74,0.49,0.94,992,0.3,4.34,1034,1.0
0.2,0.98,0.51,0.98,0.83,0.18,0.55,0.14,0.62,0.75,892,0.5,4.14,898,0.11
0.08,0.22,0.1,0.25,0.88,0.41,0.02,0.48,0.27,0.4,980,0.3,6.85,908,0.11
0.61,0.03,0.38,0.45,0.83,0.98,0.18,0.6,0.18,0.08,879,0.4,5.58,868,0.11
0.52,0.18,0.03,0.24,0.25,0.55,0.08,0.58,0.19,0.9,770,0.3,4.53,881,0.11
0.2,0.85,0.27,0.72,0.81,0.45,0.35,0.76,0.66,0.28,998,0.3,4.21,881,1.0
0.61,0.85,0.68,0.96,0.73,0.07,0.88,0.24,0.68,0.79,882,0.6,6.47,1060,1.0
0.22,0.22,0.11,0.51,0.46,0.49,0.49,0.01,0.23,0.67,705,0.4,5.53,839,1.0
0.08,0.49,0.9,0.49,0.54,0.66,0.42,0.96,0.62,0.4,711,0.5,3.96,1064,0.11
0.69,0.42,0.54,0.16,0.39,0.93,0.75,0.92,0.14,0.74,719,0.4,3.45,1038,1.0
0.36,0.6,0.75,0.5,0.9,0.13,0.94,0.1,0.25,0.39,872,0.4,4.95,895,0.11
0.16,0.39,0.16,0.34,0.07,0.95,0.4,0.08,0.31,0.46,749,0.5,4.91,866,1.0
0.04,0.21,0.91,0.29,0.93,0.44,0.55,0.31,0.95,0.65,789,0.4,4.33,947,0.11
0.89,0.23,0.73,0.45,0.39,0.32,0.54,0.89,0.54,0.27,985,0.6,4.28,1048,0.11
0.14,0.87,0.38,0.96,0.37,0.78,0.55,0.0,0.96,0.89,856,0.6,3.39,915,1.0
0.96,0.44,1.0,0.77,0.08,0.68,0.05,0.28,0.83,0.85,849,0.6,5.34,1078,0.11
0.12,0.83,0.07,0.34,0.44,0.19,0.17,0.84,0.9,0.87,989,0.4,5.68,860,0.11
0.61,0.13,0.73,0.46,0.23,0.59,0.47,0.53,0.32,0.89,870,0.4,3.52,1058,1.0
0.36,0.11,0.59,0.74,0.88,0.98,0.56,0.95,0.78,0.2,978,0.3,6.53,980,0.11
0.17,0.99,0.9,0.42,0.45,0.6,0.93,0.74,0.12,0.95,905,0.3,6.23,1048,1.0
0.63,0.76,0.85,0.04,0.06,0.78,0.14,0.75,0.17,0.17,953,0.5,6.86,871,1.0
0.74,0.61,0.45,0.45,0.12,0.8,0.29,0.29,0.41,0.05,936,0.3,5.13,1040,1.0
0.72,0.94,0.53,0.82,0.76,0.9,0.27,0.91,0.52,0.46,962,0.3,6.34,845,0.11
0.36,0.96,0.67,0.93,0.09,0.16,0.24,0.2,0.15,0.11,746,0.5,5.3,955,1.0
0.73,0.37,0.16,0.0,0.23,0.38,0.48,0.24,0.32,0.68,908,0.4,3.2,810,1.0
0.89,0.82,0.7,0.42,0.39,0.08,0.55,0.97,0.31,0.6,771,0.5,3.82,937,1.0
0.86,0.08,0.76,0.22,0.36,0.08,0.52,0.03,0.01,0.8,761,0.4,4.95,1035,0.11
0.98,0.66,0.23,0.18,0.89,0.34,0.01,0.17,0.62,0.86,921,0.6,4.7,847,1.0
0.66,0.04,0.88,0.89,0.17,0.25,0.81,0.23,0.8,0.98,798,0.4,3.53,863,0.11
0.18,0.39,0.66,0.36,0.75,0.62,0.53,0.85,0.38,0.94,867,0.6,5.27,830,1.0
0.68,0.38,0.3,0.55,0.67,0.25,0.17,0.43,0.25,0.97,864,0.4,3.08,874,0.11
0.54,0.9,0.53,0.48,0.34,0.79,0.26,0.67,0.42,0.17,807,0.3,3.84,1055,1.0
